Matvare;Matvaregruppe;Spiselig del (%);Energi (kJ);Energi (kcal);Vann (g);Protein (g);Fett (g);Mettet fett (g);Karbohydrat (g);Sukker (g);Kostfiber (g);Salt (g);Vitamin A (RAE) (µg);Vitamin D (µg);Vitamin E (mg);Vitamin C (mg);Tiamin (mg);Riboflavin (mg);Niacin (mg);Vitamin B6 (mg);Folat (µg);Vitamin B12 (µg);Kalsium (mg);Jern (mg);Magnesium (mg);Fosfor (mg);Kalium (mg);Natrium (mg);Sink (mg);Selen (µg);Jod (µg);Kobber (mg)
Havregryn lettkokte;Kornprodukter;100;1554;370;9,0;13,2;7,0;1,3;58,7;1,0;10,0;0,02;0;0;1,0;0;0,51;0,17;1,0;0,12;56;0;52;4,7;138;410;380;8;3,1;28;0;0,45
Helmelk 3,5 %;Melk og melkeprodukter;100;272;65;87,0;3,4;3,5;2,2;4,5;4,5;0;0,10;36;1,0;0,1;1,0;0,04;0,17;0,1;0,04;5;0,5;120;0,03;11;92;150;44;0,4;2;15;0,01
Lettmelk 1,0 %;Melk og melkeprodukter;100;159;38;90,0;3,5;1,0;0,6;4,5;4,5;0;0,10;14;0,4;0,03;1,0;0,04;0,17;0,1;0,04;5;0,5;123;0,03;11;94;155;45;0,4;2;15;0,01
Skummet melk;Melk og melkeprodukter;100;142;34;91,0;3,5;0,1;0,1;4,9;4,9;0;0,10;1;0,0;0,01;1,0;0,04;0,18;0,1;0,04;5;0,5;124;0,03;11;95;160;46;0,4;2;15;0,01
Egg kokt;Egg;88;603;145;75,0;12,6;10,6;2,7;0,3;0,3;0;0,30;190;1,8;1,6;0;0,07;0,42;0,1;0,12;55;1,3;55;1,8;12;200;130;130;1,3;30;30;0,07
Kyllingfilet rå;Kjøtt og kjøttprodukter;100;460;110;75,0;23,0;1,5;0,4;0;0;0;0,15;9;0,2;0,2;0;0,08;0,15;9,0;0,50;9;0,4;5;0,4;28;220;360;60;0,8;15;7;0,05
Kyllingfilet stekt;Kjøtt og kjøttprodukter;100;690;165;65,0;31,0;3,6;1,0;0;0;0;0,40;12;0,2;0,3;0;0,09;0,16;11,0;0,55;10;0,4;7;0,5;32;250;380;160;1,0;18;8;0,06
Grovbrød;Kornprodukter;100;1025;245;38,0;9,0;4,0;0,8;41,0;3,0;7,0;1,10;0;0;0,8;0;0,25;0,15;2,5;0,15;40;0;30;2,8;75;200;240;430;1,8;25;3;0,25
Loff;Kornprodukter;100;1130;267;36,0;8,5;3,0;0,7;50,0;4,0;3,0;1,00;0;0;0,3;0;0,20;0,10;1,5;0,08;30;0;25;1,5;25;90;120;400;0,8;18;2;0,12
Knekkebrød;Kornprodukter;100;1490;352;6,0;11,0;3,5;0,6;65,0;1,5;15,0;1,20;0;0;0,9;0;0,30;0,18;3,0;0,20;45;0;45;4,0;120;350;380;480;3,0;30;4;0,40
Smør;Smør margarin og olje;100;3060;744;16,0;0,7;82,0;52,0;0,6;0,6;0;1,20;680;1,0;2,0;0;0;0,02;0;0;3;0,1;15;0,1;2;20;25;480;0,1;1;5;0,01
Olivenolje;Smør margarin og olje;100;3700;900;0;0;100,0;14,0;0;0;0;0;0;0;14,0;0;0;0;0;0;0;0;1;0,4;0;1;1;0;0;0;0;0
Brunost Gudbrandsdalsost;Melk og melkeprodukter;100;1950;466;13,0;9,0;29,0;19,0;42,0;42,0;0;0,60;230;3,0;0,5;0;0,10;1,20;1,0;0,15;30;1,5;310;0,5;30;460;400;240;1,5;10;25;0,10
Hvitost Norvegia;Melk og melkeprodukter;100;1570;375;38,0;25,0;28,0;18,0;0;0;0;1,30;290;0,5;0,6;0;0,03;0,40;0,1;0,08;25;1,6;700;0,2;28;520;100;520;3,5;14;40;0,03
Yoghurt naturell;Melk og melkeprodukter;100;255;61;87,0;3,5;3,3;2,1;4,7;4,7;0;0,10;30;0,1;0,1;1,0;0,04;0,19;0,1;0,05;9;0,4;120;0,05;12;95;160;46;0,5;2;15;0,01
Banan;Frukt og bær;65;385;92;75,0;1,1;0,3;0,1;20,0;17,0;2,0;0;3;0;0,1;9,0;0,04;0,07;0,7;0,30;20;0;5;0,3;30;25;360;1;0,2;1;2;0,08
Eple;Frukt og bær;94;218;52;85,0;0,3;0,2;0;11,0;10,0;2,4;0;3;0;0,2;5,0;0,02;0,03;0,1;0,04;5;0;6;0,1;5;11;110;1;0,04;0;1;0,03
Appelsin;Frukt og bær;70;195;47;86,0;0,9;0,1;0;9,0;9,0;2,4;0;11;0;0,2;53,0;0,09;0,04;0,3;0,06;30;0;40;0,1;10;15;180;1;0,07;0;1;0,05
Gulrot rå;Grønnsaker;94;155;37;88,0;0,9;0,2;0;6,8;5,0;2,8;0,07;835;0;0,5;5,0;0,06;0,05;0,5;0,10;19;0;33;0,3;12;35;320;28;0,2;1;2;0,04
Potet kokt;Grønnsaker;85;330;79;78,0;2,0;0,1;0;17,0;0,8;1,8;0;0;0;0,1;13,0;0,09;0,03;1,1;0,30;10;0;6;0,4;20;50;380;3;0,3;1;2;0,10
Brokkoli kokt;Grønnsaker;100;120;29;91,0;2,4;0,4;0,1;2,0;1,5;3,0;0,08;80;0;1,5;65,0;0,06;0,12;0,6;0,15;60;0;45;0,8;20;65;280;15;0,4;2;3;0,05
Tomat;Grønnsaker;98;85;20;94,0;0,9;0,2;0;3,0;2,8;1,2;0,02;42;0;0,8;15,0;0,04;0,03;0,6;0,08;20;0;10;0,3;10;25;250;5;0,1;1;2;0,06
Laks oppdrett rå;Fisk og skalldyr;100;920;220;65,0;20,0;15,0;3,0;0;0;0;0,20;13;10,0;1,8;0;0,20;0,15;7,0;0,60;25;3,5;15;0,5;28;240;380;60;0,4;25;20;0,05
Torsk rå;Fisk og skalldyr;100;320;76;82,0;18,0;0,3;0,1;0;0;0;0,20;3;1,5;0,4;0;0,07;0,07;2,0;0,30;10;1,0;15;0,2;28;200;380;70;0,4;30;160;0,03
Makrell i tomat;Fisk og skalldyr;100;770;185;65,0;13,0;12,0;2,8;5,0;4,0;0,5;0,90;30;8,0;1,5;0;0,10;0,25;6,0;0,35;10;6,0;90;1,2;30;220;320;360;1,0;30;30;0,10
Kjøttdeig storfe 14 %;Kjøtt og kjøttprodukter;100;820;197;67,0;18,0;14,0;6,0;0;0;0;0,20;0;0,5;0,4;0;0,05;0,20;5,0;0,35;7;2,5;8;2,2;20;170;300;55;4,5;12;5;0,08
Svinekotelett stekt;Kjøtt og kjøttprodukter;100;980;235;58,0;26,0;14,0;5,0;0;0;0;0,30;2;0,8;0,3;0;0,80;0,25;5,0;0,45;5;0,8;10;0,9;25;220;360;65;2,5;20;6;0,07
Ris kokt;Kornprodukter;100;540;129;68,0;2,7;0,3;0,1;28,0;0,1;0,8;0;0;0;0,1;0;0,02;0,01;0,5;0,05;3;0;5;0,5;12;40;30;1;0,5;5;1;0,08
Pasta kokt;Kornprodukter;100;620;148;62,0;5,5;0,9;0,2;30,0;1,0;2,0;0;0;0;0,1;0;0,03;0,02;0,7;0,05;7;0;8;0,6;20;60;45;2;0,6;8;2;0,10
Brun bønne kokt;Belgvekster;100;490;117;70,0;7,5;0,5;0,1;19,0;0,8;6,5;0;0;0;0,1;1,0;0,12;0,05;0,5;0,12;90;0;40;2,5;45;130;370;3;1,0;1;2;0,25
Linser kokt;Belgvekster;100;490;116;70,0;9,0;0,4;0,1;17,0;1,5;8,0;0;1;0;0,1;1,5;0,17;0,07;1,0;0,18;180;0;20;3,3;36;180;370;2;1,3;3;2;0,25
Mandler;Nøtter og frø;100;2540;620;4,0;21,0;53,0;4,0;7,0;4,0;12,0;0;0;0;26,0;0;0,20;1,10;3,5;0,13;50;0;270;3,7;270;480;730;1;3,1;3;2;1,00
